District Code, District Name, Bank Code, Bank Name, Branch Name, Branch Code, Routing No
610, BOGRA, 010, AGRANI BANK LTD., TALUCH HAT, 310, 010103100
610, BOGRA, 010, AGRANI BANK LTD., TARONIHAT, 313, 010103139
610, BOGRA, 010, AGRANI BANK LTD., THANA ROAD, 316, 010103168
610, BOGRA, 010, AGRANI BANK LTD., ZIANAGAR, 322, 010103221
112, BRAHMANBARIA, 010, AGRANI BANK LTD., AKHAURA, 004, 010120046
112, BRAHMANBARIA, 010, AGRANI BANK LTD., ASHUGANJ, 010, 010120109
112, BRAHMANBARIA, 010, AGRANI BANK LTD., BANCHARAMPUR, 025, 010120259
112, BRAHMANBARIA, 010, AGRANI BANK LTD., BANGURA BAZAR, 028, 010120288
112, BRAHMANBARIA, 010, AGRANI BANK LTD., BITGHAR, 040, 010120404
112, BRAHMANBARIA, 010, AGRANI BANK LTD., BRAHMANBARIA, 043, 010120433
112, BRAHMANBARIA, 010, AGRANI BANK LTD., CHANDURA BAZAR, 058, 010120583
112, BRAHMANBARIA, 010, AGRANI BANK LTD., JAGAT BAZAR, 091, 010120912
112, BRAHMANBARIA, 010, AGRANI BANK LTD., KASBA, 103, 010121032
112, BRAHMANBARIA, 010, AGRANI BANK LTD., LALPUR BAZAR, 115, 010121153
112, BRAHMANBARIA, 010, AGRANI BANK LTD., NABINAGAR, 136, 010121366
112, BRAHMANBARIA, 010, AGRANI BANK LTD., SALIMGONJ, 157, 010121579
112, BRAHMANBARIA, 010, AGRANI BANK LTD., SHAHPUR, 172, 010121724
112, BRAHMANBARIA, 010, AGRANI BANK LTD., SHIBPUR, 173, 010121737
112, BRAHMANBARIA, 010, AGRANI BANK LTD., T.A. ROAD, 184, 010121845
113, CHANDPUR, 010, AGRANI BANK LTD., ALGEE BAZAR, 005, 010130052
113, CHANDPUR, 010, AGRANI BANK LTD., KACHUA BAZAR, 006, 010130065
113, CHANDPUR, 010, AGRANI BANK LTD., BABUR HAT, 013, 010130131
113, CHANDPUR, 010, AGRANI BANK LTD., BALITHUBA, 020, 010130207
113, CHANDPUR, 010, AGRANI BANK LTD., BELTALI BAZAR, 022, 010130223
113, CHANDPUR, 010, AGRANI BANK LTD., CHANDRA BAZAR, 046, 010130465
113, CHANDPUR, 010, AGRANI BANK LTD., CHHENGARCHAR BAZAR, 055, 010130557
113, CHANDPUR, 010, AGRANI BANK LTD., FARAKKABAD, 079, 010130799
113, CHANDPUR, 010, AGRANI BANK LTD., HAJIGANJ, 088, 010130881
113, CHANDPUR, 010, AGRANI BANK LTD., KHAJURIA BAZAR, 103, 010131035
113, CHANDPUR, 010, AGRANI BANK LTD., MATLAB BAZAR, 121, 010131219
113, CHANDPUR, 010, AGRANI BANK LTD., MEHER, 127, 010131277
113, CHANDPUR, 010, AGRANI BANK LTD., MUNSHIRHAT, 133, 010131330
113, CHANDPUR, 010, AGRANI BANK LTD., NANDALALPUR, 139, 010131398
113, CHANDPUR, 010, AGRANI BANK LTD., NARAYANPUR, 145, 010131451
113, CHANDPUR, 010, AGRANI BANK LTD., NATUN BAZAR, 148, 010131480
113, CHANDPUR, 010, AGRANI BANK LTD., RAMCHANDRAPUR BAZAR, 172, 010131727
113, CHANDPUR, 010, AGRANI BANK LTD., RUPSHA BAZAR, 178, 010131785
113, CHANDPUR, 010, AGRANI BANK LTD., SREERAMDI, 205, 010132050
113, CHANDPUR, 010, AGRANI BANK LTD., STATION ROAD, 208, 010132089
215, CHITTAGONG, 010, AGRANI BANK LTD., AGRABAD CORPORATE, 016, 010150166
215, CHITTAGONG, 010, AGRANI BANK LTD., AIR BASE, 019, 010150195
215, CHITTAGONG, 010, AGRANI BANK LTD., AMANAT KHAN SARAK, 028, 010150287
215, CHITTAGONG, 010, AGRANI BANK LTD., AMIRABAD, 040, 010150403
215, CHITTAGONG, 010, AGRANI BANK LTD., AMIRHAT, 043, 010150432
215, CHITTAGONG, 010, AGRANI BANK LTD., ARTYLARY CENTRE, 055, 010150553
215, CHITTAGONG, 010, AGRANI BANK LTD., ASAD GANJ, 058, 010150582
215, CHITTAGONG, 010, AGRANI BANK LTD., ASKERDIGHI, 067, 010150674
215, CHITTAGONG, 010, AGRANI BANK LTD., AZADI BAZAR, 073, 010150737
215, CHITTAGONG, 010, AGRANI BANK LTD., BAHADDAR HAT, 079, 010150795
215, CHITTAGONG, 010, AGRANI BANK LTD., BANDAR, 091, 010150911
215, CHITTAGONG, 010, AGRANI BANK LTD., BARAIYER HAT, 109, 010151099
215, CHITTAGONG, 010, AGRANI BANK LTD., BARODAROGA HAT, 112, 010151123
215, CHITTAGONG, 010, AGRANI BANK LTD., BAY SHOPPING CENTRE, 118, 010151181
215, CHITTAGONG, 010, AGRANI BANK LTD., BOALKHALI, 130, 010151307
215, CHITTAGONG, 010, AGRANI BANK LTD., CADET COLLEGE, 166, 010151660
215, CHITTAGONG, 010, AGRANI BANK LTD., CHAKTAI, 175, 010151752
215, CHITTAGONG, 010, AGRANI BANK LTD., CHATTESWARI ROAD, 190, 010151907
215, CHITTAGONG, 010, AGRANI BANK LTD., CHATURI CHAUMUHONI, 191, 010151910
215, CHITTAGONG, 010, AGRANI BANK LTD., CHITTAGONG PRESS CLUB, 205, 010152056
215, CHITTAGONG, 010, AGRANI BANK LTD., CHITTAGONG UNIVERSITY, 208, 010152085
215, CHITTAGONG, 010, AGRANI BANK LTD., COLONEL HAT, 229, 010152298
215, CHITTAGONG, 010, AGRANI BANK LTD., COMMERCIAL AREA, 232, 010152322
215, CHITTAGONG, 010, AGRANI BANK LTD., DEWAN HAT, 244, 010152443
215, CHITTAGONG, 010, AGRANI BANK LTD., DURGAPUR, 262, 010152627
215, CHITTAGONG, 010, AGRANI BANK LTD., FERINGHEE BAZAR, 280, 010152801
215, CHITTAGONG, 010, AGRANI BANK LTD., FOTAYABAD, 286, 010152869
215, CHITTAGONG, 010, AGRANI BANK LTD., FOUZDERHAT, 289, 010152898
215, CHITTAGONG, 010, AGRANI BANK LTD., GOHIRA, 301, 010153013
215, CHITTAGONG, 010, AGRANI BANK LTD., GUNAGARI, 307, 010153071
215, CHITTAGONG, 010, AGRANI BANK LTD., HALISHAHAR, 316, 010153163
215, CHITTAGONG, 010, AGRANI BANK LTD., HATHAZARI, 322, 010153226
215, CHITTAGONG, 010, AGRANI BANK LTD., HAZIRHAT, 325, 010153255
215, CHITTAGONG, 010, AGRANI BANK LTD., INDUSTRIAL AREA, 331, 010153318
215, CHITTAGONG, 010, AGRANI BANK LTD., ISHAKHALI, 337, 010153376
215, CHITTAGONG, 010, AGRANI BANK LTD., ISHANAGAR, 343, 010153439
215, CHITTAGONG, 010, AGRANI BANK LTD., JALALABAD, 352, 010153521
215, CHITTAGONG, 010, AGRANI BANK LTD., JUBILEE ROAD, 364, 010153642
215, CHITTAGONG, 010, AGRANI BANK LTD., KAPASHGOLA, 403, 010154038
215, CHITTAGONG, 010, AGRANI BANK LTD., KERANIHAT, 418, 010154188
215, CHITTAGONG, 010, AGRANI BANK LTD., KHATUNGANJ, 427, 010154270
215, CHITTAGONG, 010, AGRANI BANK LTD., KHULSHI, 436, 010154362
215, CHITTAGONG, 010, AGRANI BANK LTD., LALDIGHI EAST, 454, 010154546
215, CHITTAGONG, 010, AGRANI BANK LTD., LALKHAN BAZAR, 457, 010154575
215, CHITTAGONG, 010, AGRANI BANK LTD., MADAM BIBIR HAT, 469, 010154696
215, CHITTAGONG, 010, AGRANI BANK LTD., MEDICAL COLLEGE, 493, 010154933
215, CHITTAGONG, 010, AGRANI BANK LTD., MINNAT ALI HAT, 502, 010155024
215, CHITTAGONG, 010, AGRANI BANK LTD., MIRSARAI, 505, 010155053
215, CHITTAGONG, 010, AGRANI BANK LTD., MIRZAKHIL, 508, 010155082
215, CHITTAGONG, 010, AGRANI BANK LTD., MODUNA GHAT, 517, 010155174
215, CHITTAGONG, 010, AGRANI BANK LTD., NAZIR HAT, 559, 010155590
215, CHITTAGONG, 010, AGRANI BANK LTD., NEW MARKET, 565, 010155653
215, CHITTAGONG, 010, AGRANI BANK LTD., PAHARTALI, 592, 010155929
215, CHITTAGONG, 010, AGRANI BANK LTD., PATIYA, 616, 010156160
215, CHITTAGONG, 010, AGRANI BANK LTD., QUAISH BURISH CHAR, 634, 010156344
215, CHITTAGONG, 010, AGRANI BANK LTD., RAOZAN, 649, 010156494
215, CHITTAGONG, 010, AGRANI BANK LTD., REAZUDDIN BAZAR, 652, 010156528
215, CHITTAGONG, 010, AGRANI BANK LTD., SADARGHAT, 673, 010156731
215, CHITTAGONG, 010, AGRANI BANK LTD., SAMITIRHAT, 688, 010156881
215, CHITTAGONG, 010, AGRANI BANK LTD., SANDWIP, 691, 010156915
215, CHITTAGONG, 010, AGRANI BANK LTD., SANTINIKETAN, 694, 010156944
215, CHITTAGONG, 010, AGRANI BANK LTD., SARWATOLI, 703, 010157035
215, CHITTAGONG, 010, AGRANI BANK LTD., SATTAR HAT, 709, 010157093
215, CHITTAGONG, 010, AGRANI BANK LTD., SITAKUNDA, 739, 010157398
215, CHITTAGONG, 010, AGRANI BANK LTD., SK. MUJIB ROAD, 742, 010157422
215, CHITTAGONG, 010, AGRANI BANK LTD., STEEL MILLS, 754, 010157543
215, CHITTAGONG, 010, AGRANI BANK LTD., STRAND ROAD, 757, 010157572
418, CHUADANGA, 010, AGRANI BANK LTD., ALAMDANGA, 004, 010180044
418, CHUADANGA, 010, AGRANI BANK LTD., ANDUL BARIA, 010, 010180107
418, CHUADANGA, 010, AGRANI BANK LTD., ASMANKHALI, 013, 010180136
418, CHUADANGA, 010, AGRANI BANK LTD., CHUADANGA, 019, 010180194
418, CHUADANGA, 010, AGRANI BANK LTD., DARSHANA, 031, 010180310
418, CHUADANGA, 010, AGRANI BANK LTD., HARDI, 043, 010180431
418, CHUADANGA, 010, AGRANI BANK LTD., JIBAN NAGAR, 058, 010180581
418, CHUADANGA, 010, AGRANI BANK LTD., KEDERGANJ, 070, 010180707
418, CHUADANGA, 010, AGRANI BANK LTD., RADHAKANTAPUR BAZAR, 079, 010180794
418, CHUADANGA, 010, AGRANI BANK LTD., RAMDIA BAZAR, 082, 010180828
119, COMILLA, 010, AGRANI BANK LTD., JUKTIKHOLA BAZAR, 006, 010190063
119, COMILLA, 010, AGRANI BANK LTD., MEDICAL COLLEGE, 012, 010190126
119, COMILLA, 010, AGRANI BANK LTD., AMRATALI BAZAR, 016, 010190168
119, COMILLA, 010, AGRANI BANK LTD., B.S.C.I.C, 025, 010190250
119, COMILLA, 010, AGRANI BANK LTD., BALUTUPA, 037, 010190371
119, COMILLA, 010, AGRANI BANK LTD., BATA KANDI BAZAR, 052, 010190526
119, COMILLA, 010, AGRANI BANK LTD., BATAICHARI BAZAR, 055, 010190555
119, COMILLA, 010, AGRANI BANK LTD., BOKSHAGONJ, 073, 010190739
119, COMILLA, 010, AGRANI BANK LTD., BURICHANG BAZAR, 083, 010190834
119, COMILLA, 010, AGRANI BANK LTD., CHANDINA, 088, 010190889
119, COMILLA, 010, AGRANI BANK LTD., DAUDKANDI, 151, 010191512
119, COMILLA, 010, AGRANI BANK LTD., DEBIDWAR, 160, 010191604
119, COMILLA, 010, AGRANI BANK LTD., HASANPUR, 220, 010192203
119, COMILLA, 010, AGRANI BANK LTD., HOMNA, 223, 010192232
119, COMILLA, 010, AGRANI BANK LTD., HOUSING ESTATE, 226, 010192261
119, COMILLA, 010, AGRANI BANK LTD., JAHAPUR, 235, 010192353
119, COMILLA, 010, AGRANI BANK LTD., JHALAM BAZAR, 238, 010192382
119, COMILLA, 010, AGRANI BANK LTD., KASHINAGAR, 259, 010192595
119, COMILLA, 010, AGRANI BANK LTD., KHILA BAZAR, 262, 010192629
119, COMILLA, 010, AGRANI BANK LTD., LAKSAM, 271, 010192711
119, COMILLA, 010, AGRANI BANK LTD., MADHABPUR, 277, 010192779
119, COMILLA, 010, AGRANI BANK LTD., MONOHARPUR, 307, 010193073
119, COMILLA, 010, AGRANI BANK LTD., MONSHIRHAT, 310, 010193107
119, COMILLA, 010, AGRANI BANK LTD., NANGALKOT, 325, 010193257
119, COMILLA, 010, AGRANI BANK LTD., NASRATPUR, 328, 010193286
119, COMILLA, 010, AGRANI BANK LTD., NATHERPETUA, 331, 010193310
119, COMILLA, 010, AGRANI BANK LTD., NIMSHAR, 334, 010193349
119, COMILLA, 010, AGRANI BANK LTD., PADUAR BAZAR, 340, 010193402
119, COMILLA, 010, AGRANI BANK LTD., RAJGANJ, 358, 010193581
119, COMILLA, 010, AGRANI BANK LTD., RUPBABU BAZAR, 376, 010193765
119, COMILLA, 010, AGRANI BANK LTD., SHANKHACHAIL, 382, 010193828
119, COMILLA, 010, AGRANI BANK LTD., TOMSON BRIDGE, 409, 010194098
222, COXS BAZAR, 010, AGRANI BANK LTD., COXS BAZAR, 025, 010220254
222, COXS BAZAR, 010, AGRANI BANK LTD., KHUTAKHALI, 064, 010220641
222, COXS BAZAR, 010, AGRANI BANK LTD., MARICCHA, 070, 010220704
222, COXS BAZAR, 010, AGRANI BANK LTD., TEKNAF, 091, 010220917
126, DHAKA-NORTH, 010, AGRANI BANK LTD., B.A.F., 031, 010260319
126, DHAKA-NORTH, 010, AGRANI BANK LTD., BADDA, 034, 010260348
126, DHAKA-NORTH, 010, AGRANI BANK LTD., BANANI, 043, 010260430
126, DHAKA-NORTH, 010, AGRANI BANK LTD., BANK TOWN, 049, 010260498
126, DHAKA-NORTH, 010, AGRANI BANK LTD., DHAMRAI, 115, 010261150
126, DHAKA-NORTH, 010, AGRANI BANK LTD., DHANMONDI, 118, 010261189
126, DHAKA-NORTH, 010, AGRANI BANK LTD., ELEPHANT ROAD, 133, 010261334
126, DHAKA-NORTH, 010, AGRANI BANK LTD., FARMGATE, 145, 010261455
126, DHAKA-NORTH, 010, AGRANI BANK LTD., GABTALI, 154, 010261547
126, DHAKA-NORTH, 010, AGRANI BANK LTD., GREEN ROAD, 169, 010261697
126, DHAKA-NORTH, 010, AGRANI BANK LTD., GULSHAN, 172, 010261721
126, DHAKA-NORTH, 010, AGRANI BANK LTD., ICDDRB, 211, 010262117
126, DHAKA-NORTH, 010, AGRANI BANK LTD., JAHANGIRNAGAR UNIVERSITY, 226, 010262267
126, DHAKA-NORTH, 010, AGRANI BANK LTD., KURMITOLA, 265, 010262654
126, DHAKA-NORTH, 010, AGRANI BANK LTD., MIRPUR, 298, 010262988
126, DHAKA-NORTH, 010, AGRANI BANK LTD., MOHAKHALI, 319, 010263190
126, DHAKA-NORTH, 010, AGRANI BANK LTD., MOHAMMADPUR, 328, 010263282
126, DHAKA-NORTH, 010, AGRANI BANK LTD., NEW MARKET, 352, 010263529
126, DHAKA-NORTH, 010, AGRANI BANK LTD., PALLABI, 358, 010263587
126, DHAKA-NORTH, 010, AGRANI BANK LTD., PANTHA PATH, 361, 010263611
126, DHAKA-NORTH, 010, AGRANI BANK LTD., PATHALIA, 364, 010263640
126, DHAKA-NORTH, 010, AGRANI BANK LTD., RAYER BAZAR, 394, 010263945
126, DHAKA-NORTH, 010, AGRANI BANK LTD., SATMASJID ROAD, 403, 010264036
126, DHAKA-NORTH, 010, AGRANI BANK LTD., SAVAR, 409, 010264094
126, DHAKA-NORTH, 010, AGRANI BANK LTD., SENPARA, 421, 010264210
126, DHAKA-NORTH, 010, AGRANI BANK LTD., SHEWRA PARA, 427, 010264278
126, DHAKA-NORTH, 010, AGRANI BANK LTD., SHYAMALI, 430, 010264302
126, DHAKA-NORTH, 010, AGRANI BANK LTD., SIMULIA, 433, 010264331
126, DHAKA-NORTH, 010, AGRANI BANK LTD., SONARGAON ROAD, 436, 010264360
126, DHAKA-NORTH, 010, AGRANI BANK LTD., TEJGAON INDUSTRIAL AREA, 451, 010264515
126, DHAKA-NORTH, 010, AGRANI BANK LTD., UTTARA MODEL TOWN, 469, 010264694
126, DHAKA-NORTH, 010, AGRANI BANK LTD., WASA, 472, 010264728
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., TRUNCATION POINT, 000, 010270004
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., AGAMASHILANE, 010, 010270109
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., AMINCOURT, 025, 010270259
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., CHURAIN BAZAR, 026, 010270262
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., ANTA BARAH, 028, 010270288
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., RAYER BAGH, 032, 010270325
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., B.B. AVENUE, 043, 010270433
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., BABU BAZAR, 055, 010270554
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., BANGLA ACADAMY, 079, 010270796
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., BASHABOO, 097, 010270970
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., BECHARAMDEWRI, 103, 010271032
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., BEGUM BAZAR, 106, 010271061
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., CENTRAL LAW COLLEGE, 121, 010271216
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., CHAWK BAZAR, 127, 010271274
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., CHOWDHURY BAZAR, 133, 010271337
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., DHAKA SHERATON HOTEL, 163, 010271632
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., DHAKA UNIVERSITY, 172, 010271724
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., DHOLAIRPAR, 187, 010271874
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., FARASHGANJ, 223, 010272231
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., FARIDABAD, 226, 010272260
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., FOREIGN EXCHANGE, 232, 010272323
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., HATKHOLA, 259, 010272594
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., HEAD OFFICE, 268, 010272686
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., IMAMGANJ, 280, 010272802
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., ISLAMPUR, 298, 010272981
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., JAGANNATH UNIVERSITY, 310, 010273106
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., JATIYA JADUGHAR, 316, 010273164
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., JATIYA PRESS CLUB, 319, 010273193
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., JATRABARI, 322, 010273227
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., JOYPARA, 328, 010273285
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., KADAMTALI, 334, 010273348
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., KAMALAPUR, 349, 010273498
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., KAMRANGIRCHAR, 358, 010273580
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., KOMORGONJ, 373, 010273735
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., MALIBAGH, 394, 010273948
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., MATUAIL, 400, 010274000
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., MITFORD HOSPITAL, 409, 010274097
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., MOUCHAK MARKET, 439, 010274392
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., MOULVI BAZAR, 442, 010274426
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., NARINDA, 463, 010274639
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., NARISHA BAZAR, 466, 010274668
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., NAWABGANJ ROAD, 469, 010274697
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., NOBABGONJ  (KOLAKOPA), 471, 010274718
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., NAWABPUR, 472, 010274721
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., NEW ESKATON, 502, 010275025
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., NORTH SOUTH ROAD, 511, 010275117
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., PATILZHAP BAZAR, 517, 010275175
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., POSTA, 529, 010275296
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., PRINCIPAL, 535, 010275359
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., PURANA PALTAN, 538, 010275388
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., PYARIDAS ROAD, 544, 010275441
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., RAISHAHEB BAZAR, 550, 010275504
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., RAJUK BHABAN, 562, 010275625
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., RAMNA, 568, 010275683
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., RAMPURA, 574, 010275746
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., S.S. COLLEGE, 589, 010275896
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., SADARGHAT, 592, 010275920
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., SANTINAGAR, 601, 010276011
127, DHAKA-SOUTH, 010, AGRANI BANK LTD., THATARI BAZAR, 667, 010276679
